period,area_code,area_name,geography,sex,age_group,usual_residents
2021-03-21,E08000001,Bolton,Local authority,Males,All ages,145900
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 4 years and under,9400
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 5 to 9 years,10500
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 10 to 14 years,10700
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 15 to 19 years,9600
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 20 to 24 years,8500
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 25 to 29 years,8500
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 30 to 34 years,9300
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 35 to 39 years,9600
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 40 to 44 years,9300
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 45 to 49 years,9400
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 50 to 54 years,10100
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 55 to 59 years,9500
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 60 to 64 years,8100
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 65 to 69 years,6900
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 70 to 74 years,6800
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 75 to 79 years,4700
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 80 to 84 years,3000
2021-03-21,E08000001,Bolton,Local authority,Males,Aged 85 years and over,2100
2021-03-21,E08000001,Bolton,Local authority,Persons,All ages,296000
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 4 years and under,18500
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 5 to 9 years,20400
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 10 to 14 years,20800
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 15 to 19 years,18300
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 20 to 24 years,16600
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 25 to 29 years,17800
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 30 to 34 years,20000
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 35 to 39 years,19900
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 40 to 44 years,18500
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 45 to 49 years,18800
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 50 to 54 years,20100
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 55 to 59 years,19200
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 60 to 64 years,16200
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 65 to 69 years,13900
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 70 to 74 years,14200
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 75 to 79 years,10100
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 80 to 84 years,6800
2021-03-21,E08000001,Bolton,Local authority,Persons,Aged 85 years and over,5800
1981-04-05,E08000002,Bury,Local authority,Females,All ages,90494
1981-04-05,E08000002,Bury,Local authority,Females,Aged 4 years and under,5332
1981-04-05,E08000002,Bury,Local authority,Females,Aged 5 to 9 years,5942
1981-04-05,E08000002,Bury,Local authority,Females,Aged 10 to 14 years,7079
1981-04-05,E08000002,Bury,Local authority,Females,Aged 15 to 19 years,7020
1981-04-05,E08000002,Bury,Local authority,Females,Aged 20 to 24 years,5840
1981-04-05,E08000002,Bury,Local authority,Females,Aged 25 to 29 years,5947
1981-04-05,E08000002,Bury,Local authority,Females,Aged 30 to 34 years,7131
1981-04-05,E08000002,Bury,Local authority,Females,Aged 35 to 39 years,5799
1981-04-05,E08000002,Bury,Local authority,Females,Aged 40 to 44 years,5285
1981-04-05,E08000002,Bury,Local authority,Females,Aged 45 to 49 years,4804
1981-04-05,E08000002,Bury,Local authority,Females,Aged 50 to 54 years,4733
1981-04-05,E08000002,Bury,Local authority,Females,Aged 55 to 59 years,5090
1981-04-05,E08000002,Bury,Local authority,Females,Aged 60 to 64 years,4402
1981-04-05,E08000002,Bury,Local authority,Females,Aged 65 to 69 years,4817
1981-04-05,E08000002,Bury,Local authority,Females,Aged 70 to 74 years,4470
1981-04-05,E08000002,Bury,Local authority,Females,Aged 75 to 79 years,3258
1981-04-05,E08000002,Bury,Local authority,Females,Aged 80 to 84 years,2184
1981-04-05,E08000002,Bury,Local authority,Females,Aged 85 years and over,1362
1981-04-05,E08000002,Bury,Local authority,Males,All ages,84958
1981-04-05,E08000002,Bury,Local authority,Males,Aged 4 years and under,5516
1981-04-05,E08000002,Bury,Local authority,Males,Aged 5 to 9 years,6308
1981-04-05,E08000002,Bury,Local authority,Males,Aged 10 to 14 years,7532
1981-04-05,E08000002,Bury,Local authority,Males,Aged 15 to 19 years,7421
1981-04-05,E08000002,Bury,Local authority,Males,Aged 20 to 24 years,5927
1981-04-05,E08000002,Bury,Local authority,Males,Aged 25 to 29 years,5750
1981-04-05,E08000002,Bury,Local authority,Males,Aged 30 to 34 years,7189
1981-04-05,E08000002,Bury,Local authority,Males,Aged 35 to 39 years,5990
1981-04-05,E08000002,Bury,Local authority,Males,Aged 40 to 44 years,5336
