area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 to 44 years,13238
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 to 49 years,12848
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 to 54 years,13151
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 to 59 years,13221
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,11354
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 65 to 69 years,10390
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 70 to 74 years,9077
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 75 to 79 years,6261
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 80 to 84 years,3569
E08000009,Trafford,Local authority,1981-04-05,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 85 years and over,2042
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,110252
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,6773
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,6661
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,6411
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,6820
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,7583
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,8451
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,7921
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,7141
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,7876
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,6577
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,6101
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,5679
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 60 to 64 years,5773
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 65 to 69 years,5683
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 70 to 74 years,4706
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 75 to 79 years,4308
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 80 to 84 years,3234
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 85 years and over,2554
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,All ages,102479
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 4 years and under,7166
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 5 to 9 years,6952
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 10 to 14 years,6520
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 15 to 19 years,7101
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 20 to 24 years,7515
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 25 to 29 years,7987
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 30 to 34 years,7780
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 35 to 39 years,7102
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 40 to 44 years,7764
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 45 to 49 years,6322
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 50 to 54 years,5961
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 55 to 59 years,5610
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 60 to 64 years,5259
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 65 to 69 years,4876
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 70 to 74 years,3690
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 75 to 79 years,2613
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 80 to 84 years,1532
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Males,Aged 85 years and over,729
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,All ages,212731
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 4 years and under,13939
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 5 to 9 years,13613
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 10 to 14 years,12931
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 15 to 19 years,13921
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 20 to 24 years,15098
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 25 to 29 years,16438
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 30 to 34 years,15701
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 35 to 39 years,14243
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 to 44 years,15640
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 to 49 years,12899
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 to 54 years,12062
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 to 59 years,11289
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,11032
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 65 to 69 years,10559
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 70 to 74 years,8396
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 75 to 79 years,6921
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 80 to 84 years,4766
E08000009,Trafford,Local authority,1991-04-21,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 85 years and over,3283
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,All ages,107982
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 4 years and under,5793
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 5 to 9 years,6463
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 10 to 14 years,6876
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 15 to 19 years,6465
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 20 to 24 years,5174
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 25 to 29 years,6760
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 30 to 34 years,8200
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 35 to 39 years,8978
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 40 to 44 years,7958
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 45 to 49 years,7028
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 50 to 54 years,7249
E08000009,Trafford,Local authority,2001-04-29,Usual resident population by sex and age group,Count,Usual residents,Females,Aged 55 to 59 years,5871
